Initials,date,course id,time(m),summary,Class or HW
CJ,1/8/2024,Theo-370,75,class: syllabus,Class
CJ,1/8/2024,Acct-313,75,Class: ch 18,Class
CJ,1/8/2024,Acct-313,75,study,Study
CJ,1/8/2024,Econ-351,75,Class: syllabus,Class
CJ,1/9/2024,DS-160,80,Class: Module 2,Class
CJ,1/9/2024,FINA-427,75,Class: chapter 1,Class
CJ,1/9/2024,BUSA-301,75,Class: chapter 1,Class
CJ,1/9/2024,DS-160,20,Finished homework,Homework
CJ,1/9/2024,DS-160,20,Log schedule,Homework
CJ,1/9/2024,Theo-370,60,read pages 2-32 in book,Homework
CJ,1/9/2024,Acct-313,60,read ch. 18,Homework
CJ,1/10/2024,Theo-370,75,class: syllabus,Class
CJ,1/10/2024,Acct-313,75,Class: ch 18,Class
CJ,1/10/2024,Econ-351,75,Class: syllabus,Class
CJ,1/11/2024,DS-160,80,Class: Assignment 1,Class
CJ,1/11/2024,FINA-427,75,Class: chapter 2,Class
CJ,1/11/2024,BUSA-301,75,Class: chapter 2,Class
CJ,1/11/2024,FINA-427,30,Class: chapter 1,Class
CJ,1/11/2024,DS-160,20,Log schedule,Homework
CJ,1/11/2024,Acct-313,120,HW: ch. 18 problems,Homework
CJ,1/16/2024,DS-160,80,Class: Module 3,Class
CJ,1/16/2024,FINA-427,75,Class: group assignment,Class
CJ,1/16/2024,DS-160,10,HW: log hours,Homework
CJ,1/17/2024,Theo-370,75,class: syllabus,Class
CJ,1/17/2024,Acct-313,75,Class: ch 18,Class
CJ,1/17/2024,Econ-351,75,Class: syllabus,Class
CJ,1/18/2024,DS-160,80,Class: Assignment 2,Class
CJ,1/18/2024,FINA-427,75,Class: chapter Napoli case,Class
CJ,1/18/2024,BUSA-301,75,Class: chapter 3,Class
CJ,1/17/2024,DS-160,90,Podcast Summary,Homework
CJ,1/21/2024,Acct-313,180,Study for Quiz,Study
CJ,1/21/2024,FINA-427,120,Group project,Homework
CJ,1/22/2024,Econ-351,60,Stock portfolio,Homework
CJ,1/22/2024,Theo-370,75,Discussion,Class
CJ,1/22/2024,Acct-313,75,Quiz,Class
CJ,1/22/2024,Econ-351,75,chapter 1,Class
CJ,1/22/2024,DS-160,20,Pandas,Homework
CJ,1/22/2024,DS-160,20,Time sheet,Homework
CJ,1/22/2024,FINA-427,75,Class: work on project,Class
CJ,1/22/2024,BUSA-301,75,presentations,Class
CJ,1/23/2024,Theo-370,75,Discussion,Class
CJ,1/23/2024,Acct-313,75,Ch 20,Class
CJ,1/23/2024,Econ-351,75,Stock portfolio,Class
CJ,1/24/2024,DS-160,20,Pandas workbook,Class
CJ,1/25/2024,FINA-427,75,Class: new case,Class
CJ,1/26/2024,BUSA-301,75,Class: chapter 4,Class
CJ,1/28/2024,Econ-351,20,Stock portfolio,Homework
CJ,1/28/2024,FINA-427,30,project,Homework
CJ,1/29/2024,DS-160,20,Time sheet,Homework
CJ,1/29/2024,Acct-313,75,ch 21,Class
CJ,1/29/2024,Econ-351,75,TMV,Class
CJ,1/29/2024,DS-160,45,Panda HW,Homework
CJ,1/29/2024,Acct-313,120,Study for Quiz,Study
CJ,1/30/2024,DS-160,20,Mat Lib,Class
CJ,1/31/2024,FINA-427,75,Class: work on project,Class
CJ,1/31/2024,BUSA-301,75,Class: presentation,Class
CJ,1/31/2024,Acct-313,120,Study for Quiz,Study
CJ,2/1/2024,Theo-370,75,Discussion,Class
CJ,2/1/2024,Acct-313,75,quiz,Class
CJ,2/1/2024,Econ-351,75,Stock portfolio,Class
CJ,2/2/2024,DS-160,20,Mat Lib,Class
CJ,2/2/2024,FINA-427,75,Class: work on project,Class
CJ,2/2/2024,BUSA-301,75,Class: presentation,Class
CJ,2/5/2024,Theo-370,75,Discussion: Islam,Class
CJ,2/5/2024,Acct-313,75,Review for test,Class
CJ,2/5/2024,Econ-351,75,Portfolio Notes,Class
